in:climate,in:area,out:Current (TLL) MJ/m2 annum,out:RCP 2 5  (TLL) MJ/m2 annum,out:RCP 4 5 (TLL) MJ/m2 annum,out:RCP 8 5 (TLL) MJ/m2 annum,img
0,25,110.28,114.96,113.93,120.88,climate0_area25.png
1,25,77.01,86.97,86.86,92.82,climate1_area25.png
2,25,66.91,91.7,99.52,118.57,climate2_area25.png
3,25,47.49,60.29,57.53,68.07,climate3_area25.png
4,25,174.05,140.66,136.51,127.36,climate4_area25.png
5,25,79.76,81.31,77.2,72.54,climate5_area25.png
6,25,48.01,45.96,48.7,65.99,climate6_area25.png
7,25,92.82,80.56,80.54,76.67,climate7_area25.png
8,25,145.81,136.83,128.76,128.27,climate8_area25.png
9,25,178.62,156.6,148.14,145.13,climate9_area25.png
10,25,413.69,371.15,350.39,329.02,climate10_area25.png
11,25,127.32,115.6,119.98,120.74,climate11_area25.png
12,25,95.76,90.3,87.17,86.41,climate12_area25.png
13,25,120.52,119.99,124.91,133.61,climate13_area25.png
14,25,123.27,115.06,114.29,115.44,climate14_area25.png
15,25,45.66,49.35,51.34,52.72,climate15_area25.png
16,25,209.44,185.28,182.31,171.26,climate16_area25.png
17,25,352.33,295.28,288.29,278.11,climate17_area25.png
18,25,45.66,114.96,113.93,120.88,climate18_area25.png
19,25,110.28,86.97,86.86,92.82,climate19_area25.png
0,50,110.1,114.69,113.65,120.56,climate0_area50.png
1,50,76.89,86.75,86.62,92.53,climate1_area50.png
2,50,66.69,91.34,99.12,118.06,climate2_area50.png
3,50,47.43,60.12,57.36,67.84,climate3_area50.png
4,50,174.21,140.74,136.57,127.37,climate4_area50.png
5,50,79.68,81.14,77.04,72.31,climate5_area50.png
6,50,47.95,45.82,48.54,65.73,climate6_area50.png
7,50,92.79,80.45,80.43,76.54,climate7_area50.png
8,50,145.79,136.72,128.64,128.14,climate8_area50.png
9,50,178.72,156.64,148.17,145.14,climate9_area50.png
10,50,414.19,371.6,350.81,329.41,climate10_area50.png
11,50,127.21,115.44,119.8,120.53,climate11_area50.png
12,50,95.7,90.16,87.04,86.24,climate12_area50.png
13,50,120.32,119.69,124.6,133.24,climate13_area50.png
14,50,123.2,114.91,114.14,115.27,climate14_area50.png
15,50,45.59,49.16,51.15,52.52,climate15_area50.png
16,50,209.64,185.43,182.45,171.37,climate16_area50.png
17,50,352.76,295.62,288.63,278.43,climate17_area50.png
18,50,45.59,114.69,113.65,120.56,climate18_area50.png
19,50,110.1,86.75,86.62,92.53,climate19_area50.png
0,75,101.79,105.82,104.83,111.19,climate0_area75.png
1,75,70.8,79.75,79.61,84.97,climate1_area75.png
2,75,60.95,83.64,90.8,108.27,climate2_area75.png
3,75,43.35,54.9,52.34,62,climate3_area75.png
4,75,162.95,131.32,127.33,118.55,climate4_area75.png
5,75,73.56,74.65,70.84,66.21,climate5_area75.png
6,75,43.85,41.6,44.1,59.91,climate6_area75.png
7,75,85.98,74.19,74.15,70.45,climate7_area75.png
8,75,135.74,126.97,119.37,118.88,climate8_area75.png
9,75,167.01,146.11,138.15,135.21,climate9_area75.png
10,75,389.13,348.98,329.41,309.24,climate10_area75.png
11,75,118.05,106.86,110.88,111.51,climate11_area75.png
12,75,88.63,83.22,80.31,79.45,climate12_area75.png
13,75,111.31,110.44,114.99,122.92,climate13_area75.png
14,75,114.41,106.4,105.71,106.68,climate14_area75.png
15,75,41.6,44.59,46.44,47.71,climate15_area75.png
16,75,196.32,173.43,170.65,160.16,climate16_area75.png
17,75,331.26,277.4,270.82,261.2,climate17_area75.png
18,75,41.6,105.82,104.83,111.19,climate18_area75.png
19,75,101.79,79.75,79.61,84.97,climate19_area75.png
0,100,94.55,98.18,97.24,103.16,climate0_area100.png
1,100,65.49,73.74,73.59,78.53,climate1_area100.png
2,100,56.06,77.15,83.81,100.06,climate2_area100.png
3,100,39.76,50.43,48.04,57.02,climate3_area100.png
4,100,152.7,122.8,119,110.66,climate4_area100.png
5,100,68.17,69.03,65.46,60.99,climate5_area100.png
6,100,40.24,37.98,40.31,54.99,climate6_area100.png
7,100,79.93,68.7,68.66,65.15,climate7_area100.png
8,100,126.78,118.36,111.21,110.72,climate8_area100.png
9,100,156.41,136.64,129.14,126.33,climate9_area100.png
10,100,366.13,328.25,309.79,290.76,climate10_area100.png
11,100,109.98,99.35,103.1,103.65,climate11_area100.png
12,100,82.38,77.16,74.43,73.56,climate12_area100.png
13,100,103.47,102.49,106.73,114.09,climate13_area100.png
14,100,106.63,98.94,98.31,99.18,climate14_area100.png
15,100,38.1,40.71,42.44,43.63,climate15_area100.png
16,100,184.17,162.54,159.93,150,climate16_area100.png
17,100,311.54,260.72,254.52,245.42,climate17_area100.png
18,100,38.1,98.18,97.24,103.16,climate18_area100.png
19,100,94.55,73.74,73.59,78.53,climate19_area100.png
0,125,88.39,91.78,90.89,96.45,climate0_area125.png
1,125,60.96,68.71,68.56,73.21,climate1_area125.png
2,125,52.01,71.86,78.14,93.44,climate2_area125.png
3,125,36.68,46.71,44.45,52.91,climate3_area125.png
4,125,143.46,115.18,111.58,103.68,climate4_area125.png
5,125,63.51,64.28,60.91,56.66,climate5_area125.png
6,125,37.13,34.96,37.15,50.98,climate6_area125.png
7,125,74.63,64,63.96,60.63,climate7_area125.png
8,125,118.9,110.91,104.15,103.68,climate8_area125.png
9,125,146.94,128.24,121.15,118.48,climate9_area125.png
10,125,345.22,309.4,291.96,273.97,climate10_area125.png
11,125,102.99,92.93,96.46,96.97,climate11_area125.png
12,125,76.93,71.98,69.4,68.56,climate12_area125.png
13,125,96.8,95.84,99.83,106.76,climate13_area125.png
14,125,99.84,92.55,91.95,92.76,climate14_area125.png
15,125,35.11,37.52,39.15,40.27,climate15_area125.png
